topic,Count,Name,Representation,Representative_Docs,dominant_emotion
28,208,28_calgary_alberta_flooding_flood,"['calgary', 'alberta', 'flooding', 'flood', 'canada', 'floods', 'forces', 'toronto', 'homes', 'southern']","['rt : alberta floods via', 'rt : calgary flood: how to help out …', 'massive flooding in calgary, alberta, canada.']",trust
29,184,29_rescueph_st_marikina_rescue,"['rescueph', 'st', 'marikina', 'rescue', 'pls', 'brgy', 'malabon', 'cainta', 'subd', 'qc']","['rt : nasa bubong with y/o baby. charmaine dequit langka st. bulelak malanday marikina city rescueph', 'rt : please rt! nasa bubong with y/o baby. charmaine dequit langka st. bulelak malanday marikina city rescueph', 'a pregnant woman needs help. on top of a roof near kapiligan st. araneta village brgy. dona imelda qc rescueph']",trust
30,173,30_redoctober_cardinals_game_enter,"['redoctober', 'cardinals', 'game', 'enter', 'giving', 'worldseries', 'series', 'tickets', 'away', 'redbirds']","['rt : we are giving away world series tickets for game . cardinals fans rt this to enter. redbirds redoctober', 'rt : we are giving away world series tickets for game . cardinals fans rt this to enter. redbirds redoctober', 'rt : we are giving away world series tickets for game . cardinals fans rt this to enter. redbirds redoctober']",joy
31,172,31_accidente_tren_españa_santiago,"['accidente', 'tren', 'españa', 'santiago', 'en', 'compostela', 'de', 'del', 'víctimas', 'el']","['rt : mi corazón está con todas las familias de las víctimas en el trágico accidente de tren en santiago de compostela.', 'rt : mi corazón está con todas las familias de las víctimas en el trágico accidente de tren en santiago de compostela.', 'rt : trágico accidente de tren en españa']",trust
32,167,32_bigwet_this_love_made,"['bigwet', 'this', 'love', 'made', 'me', 'laugh', 'cry', 'laughed', 'sex', 'funny']","['this made me laugh so hard okay bigwet', 'bigwet this made me laugh so hard okay', 'bigwet haha, this made me laugh']",trust
33,156,33_boulderflood_boulder_coflood_creek,"['boulderflood', 'boulder', 'coflood', 'creek', 'cowx', 'jamestown', 'county', 'road', 'canyon', 'closed']","['rt : boulderflood @ boulder creek', 'pray for boulder, colorado boulderflood', 'rt : flood in boulder: boulderflood']",trust
34,155,34_rescueph_use_hashtag_reliefph,"['rescueph', 'use', 'hashtag', 'reliefph', 'rescue', 'please', 'pgh', 'centers', 'hashtags', 'ust']","['rt : “ : if you need any help please use the hashtag rescueph. rt please!”', 'rt : “ : if you need any help please use the hashtag rescueph. rt please!”', 'rt : if you need any help please use the hashtag rescueph. rt please!']",trust
35,135,35_prayforvisayas_aftershocks_prayforbohol_god,"['prayforvisayas', 'aftershocks', 'prayforbohol', 'god', 'prayforbrazil', 'prayforsantamaria', 'prayforcebu', 'keep', 'safe', 'sunod']","['rt : prayforvisayas', 'rt : prayforvisayas', 'rt : prayforvisayas']",trust
36,135,36_springs_colorado_co_denver,"['springs', 'colorado', 'co', 'denver', 'excited', 'glenwood', 'bmw', 'adventure', 'hiking', 'mountains']","['colorado', 'colorado springs: ...', 'colorado springs']",trust
37,128,37_highparkfire_acres_containment_contained,"['highparkfire', 'acres', 'containment', 'contained', 'park', 'burned', 'evacuations', 'collins', 'glacier', 'fire']","['this is crazy highparkfire', 'rt : highparkfire update', 'highparkfire from i- .']",trust
38,126,38_prayforboston_prayforbohol_prayforcebu_this,"['prayforboston', 'prayforbohol', 'prayforcebu', 'this', 'heart', 'life', 'save', 'prayforwest', 'rt', 'physically']","['rt : prayforbohol prayforcebu', 'rt : prayforbohol prayforcebu', 'rt : prayforbohol prayforcebu']",trust
39,107,39_tsarnaev_dzhokhar_tamerlan_fbi,"['tsarnaev', 'dzhokhar', 'tamerlan', 'fbi', 'his', 'boston', 'brothers', 'saddam', 'bomber', 'suspect']","['rt : rt : the fbi has released a new photo of suspect dzhokhar tsarnaev', 'rt : “ : dzhokhar tsarnaev in custody!” good work le!!', 'boston bomber dzhokhar tsarnaev -- charged in marathon terror bombing: dzhokhar tsarnaev has just been hit wit...']",trust
40,106,40_españa_tren_descarrilamiento_maquinista,"['españa', 'tren', 'descarrilamiento', 'maquinista', 'muertos', 'en', 'el', 'descarriló', 'descarrilado', 'velocidad']","['confirman muertos en descarrilamiento de tren en españa', 'momento del descarrilamiento del tren en santiago de compostela españa:', 'al menos muertos tras descarrilamiento de tren en españa (+fotos)']",trust
41,101,41_donations_reliefph_goods_ua,"['donations', 'reliefph', 'goods', 'ua', 'donate', 'unitas', 'volunteers', 'relief', 'drop', 'accepting']","['rt : reliefph: ua&amp;p is having a relief drive and needs more food donations especially rice and canned goods via .', 'ua&amp;p hopes in need of donations such as: ready-to-eat food, water and clothing. drop by pearl dr. ortigas for donations! unitas reliefph', 'rt : we are still in need of donations, particularly canned goods. thank you! unitas reliefph']",trust
42,100,42_guatemala_quake_earthquake_strong,"['guatemala', 'quake', 'earthquake', 'strong', 'least', 'off', 'strikes', 'kills', 'magnitude', 'wall']","['rt : guatemala earthquake: at least dead', '. earthquake in guatemala', 'strong earthquake off guatemala kills at least - a strong earthquake off the coast of guatemala killed at least ...']",sadness
43,98,43_italy_northern_quake_earthquake,"['italy', 'northern', 'quake', 'earthquake', 'magnitude', 'bologna', 'least', 'kills', 'hits', 'strikes']","['quake kills at least in northern italy via', 'rt : at least people killed in quake in northern italy.', ""news from : dead in northern italy's . -magnitude quake.""]",sadness
44,98,44_cebu_prayforvisayas_bohol_sa,"['cebu', 'prayforvisayas', 'bohol', 'sa', 'mga', 'yung', 'prayforbohol', 'lindol', 'lang', 'ng']","['rt : may god be with you... prayforvisayas cebu bohol', ""let's pray for cebu and bohol prayforvisayas cebu and bohol"", 'pray for cebu and bohol prayforvisayas']",trust
45,97,45_yycflood_yyc_abflood_yychelps,"['yycflood', 'yyc', 'abflood', 'yychelps', 'limit', 'taking', 'our', 'twitter', 'thanks', 'up']","['rt : rt : please evacuate the following areas of yyc: yycflood please rt', 'rt : i think the rain is coming.... yyc yycflood', 'rt : yycflood']",trust
46,94,46_sardinia_italian_cyclone_cleopatra,"['sardinia', 'italian', 'cyclone', 'cleopatra', 'apocalyptic', 'storm', 'island', 'floods', 'brings', 'destruction']","['rt : people killed and several missing after cyclone cleopatra hit italian island of sardinia, officials say', 'rt : people killed and several missing after cyclone cleopatra hit italian island of sardinia, officials say', 'rt : people killed and several missing after cyclone cleopatra hit italian island of sardinia, officials say']",sadness
47,93,47_west_texas_prayers_waco,"['west', 'texas', 'prayers', 'waco', 'our', 'tonight', 'thoughts', 'texans', 'hearts', 'prayforwest']","['rt : prayers for west texas...', 'rt : prayers for west texas', 'rt : : prayers for west, texas.']",trust
48,91,48_compostela_santiago_tren_descarrilar,"['compostela', 'santiago', 'tren', 'descarrilar', 'pasajeros', 'muertos', 'de', 'un', 'animo', 'arrr']","['rt : al menos muertos tras descarrilar tren de pasajeros cerca de santiago de compostela vía …', 'rt : rt : al menos muertos tras descarrilar un tren en santiago de compostela', 'muertos tras descarrilar un tren en santiago de compostela']",trust
49,89,49_alberta_abflood_omgp_relief,"['alberta', 'abflood', 'omgp', 'relief', 'flood', 'cross', 'red', 'donate', 'calgary', 'donating']","['rt : show your support to people affected by alberta floods by donating to : abflood pls rt…', 'rt : hey brett wilson will donate $ to abflood relief for every rt of hashtag omgp spread the word please', 'rt : looking to set up a fundraiser for canadian red cross alberta flood relief fund?']",trust
50,85,50_italia_norte_terremoto_nostradamus,"['italia', 'norte', 'terremoto', 'nostradamus', 'deja', 'menos', 'el', 'en', 'mayo', 'muertos']","['rt : un terremoto de , grados sacude el norte de italia ...', 'fuerte terremoto al norte de italia', ': terremoto en norte de italia deja al menos muertos.']",trust
51,81,51_sa_mga_ng_ang,"['sa', 'mga', 'ng', 'ang', 'po', 'rescueph', 'na', 'pa', 'reliefph', 'tulong']","['rt : para sa mga lugar na kailangan ng relief, paki-tweet sa , pakilagay ang reliefph para matulungnan namin ka…', 'rt : important announcement: sa mga nangangailangan po relief goods, lagyan po ng ( reliefph ) ang tweets nyo or tawag po sa …', 'rt : important announcement: sa mga nangangailangan po ma-rescue, paki lagyan po ng ( rescueph ) ang tweets nyo or tawag po sa…']",trust
52,68,52_pabloph_pablo_may_god,"['pabloph', 'pablo', 'may', 'god', 'light', 'strength', 'devastated', 'cdo', 'give', 'dumaguete']","['rt : prayers to all the people devastated by pabloph! i pray that may god show u the light &amp; may god give u strength to ...', 'rt : prayers to all the people devastated by pabloph! i pray that may god show u the light &amp; may god give u strength to ...', 'pabloph']",trust
53,60,53_分頃_地震_最大震度_saigai,"['分頃', '地震', '最大震度', 'saigai', 'jishin', 'の地震が発生', '震度', '震源地', '気象庁速報', 'earthquake']","['rt : 【気象庁速報】 日 時 分頃 最大震度 の地震が発生。( ) 震度 ：広島県南東部他 saigai jishin earthquake', 'rt : 【気象庁速報】 日 時 分頃 最大震度 の地震が発生。( ) 震度 ：広島県南東部他 saigai jishin earthquake', 'rt : 【気象庁速報】 日 時 分頃 最大震度 の地震が発生。( ) 震度 ：広島県南東部他 saigai jishin earthquake']",trust
54,60,54_region_earthquake_japan_indonesia,"['region', 'earthquake', 'japan', 'indonesia', 'km', 'mb', 'sismo', 'utclocation', 'temblor', 'time']","['earthquake magnitude mb . region south of java, indonesiadate time - - : : . utclocation ....', 'earthquake magnitude mb . region south of java, indonesiadate time - - : : . utclocation ....', '【 earthquake jp】 time: / / : : utc, region: n.tohoku region, japan, mw . , depth： . km, 地震']",trust
55,59,55_westtx_westexplosion_west_prayforwest,"['westtx', 'westexplosion', 'west', 'prayforwest', 'serious', 'backyard', 'my', 'community', 'heart', 'praying']","['rt : : this explosion was serious, please prayforwest westtx', 'rt : this explosion was serious, please prayforwest westtx', 'westtx']",trust
56,58,56_filipino_philippines_bangonpilipinas_filipinos,"['filipino', 'philippines', 'bangonpilipinas', 'filipinos', 'mr', 'filipina', 'sun', 'missuniverse', 'keep', 'stamps']","['rt : bangonpilipinas reliefph keep safe filipinos! thanks mr. sun! pray for the philippines!', 'rt : bangonpilipinas reliefph keep safe filipinos! thanks mr. sun! pray for the philippines!', 'rt : bangonpilipinas reliefph keep safe filipinos! thanks mr. sun! pray for the philippines!']",trust
57,55,57_tropical_maringph_maring_storm,"['tropical', 'maringph', 'maring', 'storm', 'responsibility', 'ph', 'monsoon', 'area', 'bulletin', 'southwest']","['rt : tropical storm maring expected to leave ph area of responsibility on thursday maringph', 'rt : tropical storm maring expected to leave ph area of responsibility on thursday maringph', 'rt : tropical storm maring expected to leave ph area of responsibility on thursday maringph']",trust
58,55,58_calgary_yycflood_downtown_yyc,"['calgary', 'yycflood', 'downtown', 'yyc', 'abflood', 'th', 'yycfloods', 'ave', 'centre', 'st']","['rt : rt before/after downtown calgary. th ave se at th st yycflood yyc via :', 'rt : power could be out in downtown calgary for days: abflood yycflood yyc', 'rt : oh calgary :( -- before/after downtown calgary. th ave se at th st yycflood via …']",trust
59,54,59_coflood_cofloodrelief_fundraiser_help,"['coflood', 'cofloodrelief', 'fundraiser', 'help', 'volunteers', 'crews', 'print', 'niwot', 'jabs', 'canvas']","[""want to help coflood victims? here's how:"", ""rt : we're giving free storage to victims of the coflood will you help spread the word? cofloodrelief htt…"", 'rt : please help with the cofloodrelief: coflood how to help now:']",trust
60,52,60_prayforboston_prayfortexas_world_sick,"['prayforboston', 'prayfortexas', 'world', 'sick', 'prayforwest', 'really', 'prayformit', 'screwed', 'don', 'this']","['prayforboston', 'prayforboston :(', 'prayforboston']",trust
61,52,61_yolanda_typhoon_yolandaph_beloved,"['yolanda', 'typhoon', 'yolandaph', 'beloved', 'ask', 'especially', 'victims', 'prayer', 'join', 'islands']","['rt : i ask all of you to join me in prayer for the victims of typhoon haiyan / yolanda especially those in the beloved islands of …', 'rt : i ask all of you to join me in prayer for the victims of typhoon haiyan / yolanda especially those in the beloved islands of …', 'rt : i ask all of you to join me in prayer for the victims of typhoon haiyan / yolanda especially those in the beloved islands of …']",trust
62,52,62_bestrapper_initialsofsomeonespecial_followers_boulderflood,"['bestrapper', 'initialsofsomeonespecial', 'followers', 'boulderflood', 'gt', 'cowx', 'coral', 'gladstone', 'bb', 'flow']","['visit=&gt; rt for new followers boulderflood, bestrapper, initialsofsomeonespecial, cowx, musi', 'visit=&gt; and★rt★if★you★want★followers★ boulderflood, bestrapper, initialsofsomeonespecial, cowx', 'go=&gt; and rt if want new followers boulderflood, bestrapper, cowx, initialsofsomeonespecial,']",trust
63,50,63_generator_ust_hospital_already,"['generator', 'ust', 'hospital', 'already', 'send', 'generators', 'rescuers', 'died', 'rescueph', 'some']","[""rt : ust hospital's generator already died!!! please send some rescuers! rescueph reliefph ..."", ""rt : ust hospital's generator already died!!! please send some rescuers! rescueph reliefph"", ""rt : rt: ust hospital's generator already died!!! please send some rescuers! rescueph reliefph @ ...""]",sadness
64,50,64_vídeo_tren_compostela_santiago,"['vídeo', 'tren', 'compostela', 'santiago', 'video', 'descarriló', 'galiciadeluto', 'momento', 'así', 'del']","['rt : vídeo: así descarriló el tren de santiago de compostela galiciadeluto animogalicia accidentesanti…', 'rt : vídeo: así descarriló el tren de santiago de compostela galiciadeluto animogalicia accidentesanti…', ':( : vídeo: así descarriló el tren de santiago de compostela galiciadeluto animogalicia']",trust
65,50,65_temblorcr_temblorgt_sintió_se,"['temblorcr', 'temblorgt', 'sintió', 'se', 'el', 'fuerte', 'tranquilos', 'no', 'cayó', 'miércoles']","['temblorcr estaba con mi nieto se sintió muy fuerte', '. grados temblorcr según', 'sintió el temblorcr?']",trust
66,50,66_pets_animals_coflood_colorado,"['pets', 'animals', 'coflood', 'colorado', 'pet', 'twins', 'barbi', 'humane', 'rescue', 'flooding']","['rt : barbi twins looking out for lost pets in colorado floods; rescues underway', 'colorado flooding lost and found pets', 'coflood affected pets need your help! via']",trust
67,50,67_qldfloods_laughed_hard_djokovic,"['qldfloods', 'laughed', 'hard', 'djokovic', 'me', 'hahah', 'love', 'this', 'do', 'murray']","['hahaha i know. i laughed so hard when i read about it. qldfloods', 'qldfloods you just need love.', 'qldfloods']",joy
68,49,68_haiyan_donate_typhoon_million,"['haiyan', 'donate', 'typhoon', 'million', 'typhoonhaiyan', 'typhoonaid', 'donated', 'children', 'give', 'help']","['philippines typhoonaid: . million people need urgent help. donate now. haiyan', 'i just donated to the typhoon haiyan appeal. please donate at', 'donate to typhoon haiyan victims in the philippines']",trust
69,49,69_pagasa_advisory_rains_warning,"['pagasa', 'advisory', 'rains', 'warning', 'heavy', 'next', 'hrs', 'manila', 'lying', 'yellow']","['rt : pagasa : pm advisory: red warning for metro manila. heavy-intense rains in next hrs. floods in low-lying areas, near ...', 'rt : pagasa : pm advisory: red warning for metro manila. heavy-intense rains in next hrs. floods in low-lying areas, near ...', 'rt : pagasa : pm advisory: red warning for metro manila. heavy-intense rains in next hrs. floods in low-lying areas, near ...']",trust
70,47,70_prayfortexas_holy_world_this,"['prayfortexas', 'holy', 'world', 'this', 'scariest', 'shit', 'omg', 'prayersfortexas', 'what', 'omfg']","['rt : prayfortexas', 'rt : prayfortexas', 'rt : prayfortexas']",trust
71,46,71_passable_deep_recto_vehicles,"['passable', 'deep', 'recto', 'vehicles', 'taft', 'floodph', 'flood', 'gutter', 'morayta', 'tire']","['rt : flood updates:as of : pm, (manila) recto morayta-gutter deep. rizal recto - / tire deep. taft kalaw (cont)', 'rt : flood updates: as of : am, (manila) recto morayta - gutter deep. rizal recto - / tire deep. taft kalaw (cont)', 'rt : flood updates: as of : am, (manila) recto morayta - gutter deep. rizal recto - / tire deep. taft kalaw (cont)']",trust
72,44,72_reliefph_nroc_volunteers_relief,"['reliefph', 'nroc', 'volunteers', 'relief', 'map', 'operations', 'ops', 'call', 'rescueph', 'list']","[""pls rt reliefph volunteers! need you! call / reliefph rescueph. here's the map"", 'reliefph volunteers! nroc &amp; need you! pls call - / - reliefph rescueph. here is the map', 'rt : reliefph volunteers! nroc &amp; need you! pls call - / - reliefph rescueph. here is the map']",trust
73,44,73_nov_epicenter_champerico_km,"['nov', 'epicenter', 'champerico', 'km', 'depth', 'ago', 'sw', 'guatemala', 'revised', 'ocos']","['rt : . earthquake, km sw of champerico, guatemala. nov : at epicenter ( m ago, depth km).', 'rt : . earthquake, km sw of champerico, guatemala. nov : at epicenter ( m ago, depth km).', 'rt : . earthquake, km sw of champerico, guatemala. nov : at epicenter ( m ago, depth km).']",trust
74,44,74_acopio_centros_centro_amuay,"['acopio', 'centros', 'centro', 'amuay', 'afectados', 'favor', 'ayudar', 'los', 'planta', 'silvederma']","['rt : centros de acopio para ayudar a los afectados por la tragedia de amuay --&gt;', 'rt : centros de acopio para ayudar a los afectados por la tragedia de amuay --&gt;', 'rt : centros de acopio para ayudar a los afectados por la tragedia de amuay --&gt;']",trust
75,44,75_aid_philippines_using_worry,"['aid', 'philippines', 'using', 'worry', 'pledge', 'delivering', 'relief', 'donate', 'donation', 'info']","['rt : sending love and worry to the philippines. (will also send aid donation using reliefph info....)', 'rt : sending love and worry to the philippines. (will also send aid donation using reliefph info....)', 'rt : sending love and worry to the philippines. (will also send aid donation using reliefph info....)']",trust
76,43,76_refinery_venezuela_blast_biggest,"['refinery', 'venezuela', 'blast', 'biggest', 'oil', 'explosion', 'kills', 'huge', 'dozens', 'tore']","['rt : venezuela refinery blast kills', ""refinery blast kills in venezuela, dozens hurt: a huge explosion rocked venezuela's biggest oil refinery and ..."", 'explosion kills at venezuela refinery']",sadness
77,42,77_km_sismo_magnitud_chile,"['km', 'sismo', 'magnitud', 'chile', 'preliminar', 'profundidad', 'al', 'mw', 'sismos', 'testimonios']","['sismo km al o de navidad: preliminar: no magnitud: . profundidad: . km hora cerca del epicentro... chile', 'sismo km al o de arica: preliminar: si magnitud: profundidad: km hora cerca del epicentro: ... chile', 'chile km al o de arica: preliminar: si magnitud: profundidad: km hora cerca del epicentro: ... sismo']",trust
78,40,78_yolandaph_tacloban_yolanda_oblation,"['yolandaph', 'tacloban', 'yolanda', 'oblation', 'statue', 'stands', 'ruins', 'resilient', 'looking', 'children']","['rt : the oblation statue in up tacloban stands, resilient, among the ruins of yolandaph. | via', ""rt : photo via : children are all out in tacloban's streets looking for food yolandaph"", 'rt : those who want to donate for yolandaph victims:']",trust
79,40,79_pablo_con_buena_jodas,"['pablo', 'con', 'buena', 'jodas', 'yeahh', 'juancarlos', 'alvaro', 'pss', 'miriam', 'tarde']","['rt : buena barbacoa con pablo y rubi http: ...', 'rt : buena tarde con pablo y el cabron del primo de pozo ejeje', 'buena tarde con pablo... :)']",trust
80,39,80_bundaberg_bigwet_burnett_residents,"['bundaberg', 'bigwet', 'burnett', 'residents', 'evacuation', 'north', 'walla', 'exclusion', 'river', 'civic']","['rt : police calling for immediate evacuation of bundaberg north. bigwet', 'rt : evacuation centre in bundaberg. more than flood-affected residents evacuated because of bigwet. h ...', 'rt : bundaberg north residents please evacuate immediately to civic centre, n bundaberg ss or friends &amp; relatives bigwet']",trust
81,38,81_schools_vivian_persists_minister,"['schools', 'vivian', 'persists', 'minister', 'school', 'situation', 'close', 'task', 'formed', 'sch']","['rt : minister vivian: sghaze task force formed, schools may close if situation persists', 'rt : minister vivian: sghaze task force formed, schools may close if situation persists', 'rt : minister vivian: sghaze task force formed, schools may close if situation persists']",trust
